age,marital,address,income,inccat,car,carcat,ed,employ,retire,empcat,jobsat,gender,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response,gender_new
52,1,24,159,4,78.9,3,4,16,0,3,5,m,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2
21,1,1,37,2,18.6,2,3,0,0,1,1,m,7,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2
32,0,0,28,2,13.7,1,1,2,0,1,4,f,2,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1
42,0,9,109,4,54.7,3,3,20,0,3,3,f,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1
40,1,12,117,4,58.3,3,2,19,0,3,5,f,4,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1
30,0,3,23,1,11.8,1,1,3,0,1,3,m,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
48,0,14,21,1,9.5,1,3,2,0,1,3,m,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,2
39,1,17,17,1,8.5,1,4,2,0,1,3,m,5,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,2
42,1,5,34,2,16.6,2,2,13,0,2,3,f,4,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1
45,1,12,115,4,57.4,3,1,27,0,3,4,f,5,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1
51,1,10,47,2,23,2,1,9,0,2,3,m,3,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,2
39,1,9,33,2,16.3,2,3,1,0,1,1,m,4,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,2
49,0,29,135,4,68.4,3,2,14,0,2,5,f,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1
52,0,20,272,4,74.9,3,1,35,0,3,5,m,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,2
53,1,29,41,2,19.9,2,1,9,0,2,4,m,2,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,2
34,0,10,20,1,10,1,3,0,0,1,1,f,1,1,1,1,1,9,1,1,1,0,1,1,1,1,1,1,1
47,1,6,22,1,11.4,1,3,7,0,2,4,m,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2
58,0,2,60,3,29.7,2,4,1,0,1,1,m,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,2
25,1,0,58,3,28.4,2,3,4,0,1,2,f,5,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
57,1,28,92,4,45.5,3,2,25,0,3,5,f,4,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1
30,1,7,21,1,10.5,1,4,4,0,1,1,m,2,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,2
21,0,0,13,1,6.3,1,3,0,0,1,1,f,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1
24,0,5,24,1,11.8,1,2,2,0,1,3,f,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
56,0,7,213,4,81.7,3,4,30,0,3,4,f,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
24,0,2,19,1,9.6,1,2,0,0,1,3,m,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,2
41,0,13,59,3,28.6,2,3,17,0,3,3,m,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,2
57,1,30,544,4,82.8,3,2,39,0,3,2,f,3,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1
32,0,2,32,2,15.7,2,2,10,0,2,5,m,6,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,2
24,0,5,35,2,17.4,2,4,0,0,1,2,m,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2
49,1,12,35,2,17.3,2,1,4,0,1,3,m,3,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,2
21,0,0,22,1,11,1,3,0,0,1,1,f,2,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
33,1,12,39,2,19.4,2,2,8,0,2,2,f,5,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1
56,0,12,134,4,67.2,3,2,19,0,3,3,m,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,2
54,1,16,103,4,51.2,3,1,28,0,3,2,m,6,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,2
44,1,8,240,4,75.2,3,4,11,0,2,3,f,2,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1
20,0,1,20,1,9.5,1,2,0,0,1,2,m,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,2
47,0,15,118,4,59.8,3,2,26,0,3,5,m,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,2
48,0,15,78,4,38,3,4,18,0,3,4,f,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1
25,0,2,68,3,33.5,3,4,0,0,1,2,f,3,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1
52,0,13,27,2,13.4,1,1,10,0,2,2,m,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,2
38,1,0,19,1,9.2,1,1,1,0,1,1,f,2,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1
65,1,5,20,1,10.1,1,2,10,1,2,3,m,2,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,2
28,1,2,31,2,15.6,2,3,0,0,1,3,m,2,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,2
51,1,28,51,3,25.5,2,2,9,0,2,3,m,4,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,2
61,1,34,84,4,41.5,3,2,18,0,3,3,m,2,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,2
46,1,10,133,4,66.6,3,5,16,0,3,5,m,3,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,2
43,1,8,109,4,54.6,3,2,20,0,3,3,f,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
28,0,7,24,1,12.5,1,3,2,0,1,2,m,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,2
39,0,6,57,3,28.6,2,3,12,0,2,2,f,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
37,0,16,24,1,11.3,1,3,7,0,2,1,m,2,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,2
59,1,35,32,2,15.9,2,2,0,0,1,1,m,2,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,2
55,0,29,65,3,31.5,3,4,10,0,2,4,f,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1
51,1,20,70,3,35.6,3,3,8,0,2,3,m,2,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,2
48,1,28,321,4,65.9,3,5,11,0,2,4,m,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,2
40,0,4,71,3,35.1,3,3,6,0,2,2,m,3,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2
28,0,3,35,2,17.3,2,3,6,0,2,5,f,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
39,1,16,85,4,44,3,2,21,0,3,5,m,6,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,2
30,1,0,20,1,9.7,1,3,3,0,1,4,f,4,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1
40,1,5,33,2,16.4,2,3,15,0,3,5,f,4,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1
55,0,18,35,2,17.2,2,4,2,0,1,2,f,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1
48,1,0,50,3,25.2,2,2,11,0,2,3,f,4,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1
48,1,4,1116,4,74.1,3,4,22,0,3,5,m,4,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,2
49,1,19,89,4,44.7,3,2,25,0,3,5,f,2,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
56,0,34,376,4,64.9,3,1,35,0,3,5,f,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
44,0,22,54,3,27.3,2,1,21,0,3,3,m,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,2
43,0,12,68,3,32.9,3,2,15,0,3,3,m,2,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,2
61,1,12,117,4,60.4,3,4,5,0,2,4,f,3,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1
37,0,18,29,2,14.5,1,5,4,0,1,4,m,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,2
29,1,2,25,2,12.5,1,2,10,0,2,2,m,2,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,2
30,1,10,27,2,13.1,1,1,3,0,1,2,f,4,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1
48,0,7,129,4,65.5,3,3,20,0,3,5,m,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,2
51,1,24,140,4,70.6,3,1,32,0,3,4,m,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,2
40,1,15,57,3,29.5,2,4,12,0,2,3,m,2,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,2
66,1,34,30,2,15.5,2,1,4,0,1,4,f,4,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1
61,1,18,23,1,11.3,1,2,27,1,3,4,m,3,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,2
61,1,6,64,3,32,3,3,25,0,3,5,f,2,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
32,1,10,26,2,12.2,1,3,5,0,2,4,m,6,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,2
25,0,6,27,2,13.4,1,2,1,0,1,1,m,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,2
47,0,1,28,2,13.7,1,3,8,0,2,3,m,5,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,2
59,1,18,209,4,76.8,3,2,22,0,3,5,f,2,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1
25,1,5,27,2,13.8,1,2,2,0,1,1,f,3,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1
63,1,31,478,4,73,3,1,45,0,3,4,m,2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,2
41,0,8,49,2,23.9,2,4,14,0,2,2,m,2,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,2
66,0,24,30,2,14.3,1,2,1,0,1,2,m,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,2
20,0,1,36,2,17.5,2,3,0,0,1,2,m,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,2
47,1,21,62,3,31.2,3,3,5,0,2,3,m,3,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,2
42,0,9,49,2,24.5,2,1,12,0,2,3,f,3,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
35,1,5,49,2,24.3,2,4,9,0,2,4,f,4,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1
24,0,2,23,1,11.9,1,4,1,0,1,3,m,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,2
22,0,3,23,1,11.5,1,4,0,0,1,3,f,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
32,1,12,59,3,29.8,2,5,5,0,2,2,m,4,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,2
50,1,20,58,3,29.2,2,1,8,0,2,5,m,2,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,2
44,1,8,46,2,23.2,2,1,18,0,3,4,m,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2
32,0,12,31,2,15.4,2,4,1,0,1,1,m,2,1,1,0,0,8,0,0,1,1,1,0,1,0,0,1,2
65,0,43,40,2,20.9,2,1,10,0,2,4,f,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1
47,1,21,181,4,90.4,3,2,21,0,3,4,f,2,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1
42,0,5,53,3,25.4,2,4,6,0,2,2,f,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1
48,0,29,144,4,72.7,3,2,14,0,2,2,f,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1
29,0,4,22,1,10.9,1,4,0,0,1,2,m,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,2
36,0,3,43,2,20.2,2,2,0,0,1,1,m,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,2
34,0,15,23,1,11.4,1,2,4,0,1,4,f,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1
41,0,22,68,3,34.3,3,4,0,0,1,1,f,2,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1
26,0,6,41,2,20.9,2,2,0,0,1,1,m,3,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,2
25,0,6,23,1,11.5,1,4,0,0,1,1,m,2,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,2
53,0,23,145,4,70.9,3,2,29,0,3,5,m,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,2
32,1,1,33,2,16.8,2,2,2,0,1,3,f,2,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1
46,0,7,83,4,40.5,3,2,14,0,2,2,f,3,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1
44,1,5,39,2,19.2,2,1,17,0,3,5,f,6,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1
39,0,17,42,2,20.6,2,4,5,0,2,1,f,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
39,1,14,43,2,22.3,2,1,11,0,2,4,f,2,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1
40,0,0,38,2,18.9,2,4,2,0,1,3,f,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1
25,0,4,59,3,28.4,2,4,2,0,1,2,f,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1
29,1,2,57,3,28.7,2,2,6,0,2,2,m,4,0,1,0,0,8,0,1,1,1,1,0,1,0,1,1,2
23,0,0,24,1,11.8,1,4,0,0,1,1,m,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,2
48,0,25,45,2,22.7,2,1,11,0,2,3,m,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,2
24,0,5,22,1,10.6,1,2,0,0,1,2,m,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,2
59,0,24,30,2,14.5,1,3,5,0,2,1,m,3,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,2
31,1,2,30,2,15.1,2,2,3,0,1,1,f,4,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1
70,0,23,21,1,10.3,1,2,21,1,3,2,f,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
37,0,15,51,3,24.7,2,4,5,0,2,1,m,6,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,2
59,1,15,43,2,21,2,3,8,0,2,3,f,4,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1
38,0,8,30,2,15.2,2,4,0,0,1,1,f,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
56,0,35,37,2,18.1,2,3,5,0,2,3,m,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,2
48,1,19,23,1,11.4,1,1,7,0,2,4,f,2,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1
28,1,2,16,1,7.9,1,4,0,0,1,1,m,3,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,2
20,1,0,19,1,9.6,1,2,1,0,1,4,m,8,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2
68,0,23,22,1,10.7,1,2,24,1,3,3,m,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,2
26,0,2,38,2,18.6,2,4,1,0,1,1,m,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2
29,1,4,74,3,37.3,3,4,0,0,1,5,f,4,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1
23,1,3,13,1,6.4,1,2,1,0,1,1,m,4,1,1,0,0,9,1,1,1,0,1,0,1,1,1,1,2
61,0,37,41,2,20.2,2,3,21,1,3,4,m,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,2
39,0,12,48,2,25.6,2,1,6,0,2,2,f,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1
47,1,13,176,4,88.9,3,4,5,0,2,2,f,3,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1
36,0,2,40,2,20.4,2,4,8,0,2,2,m,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,2
61,0,17,837,4,73.4,3,2,42,0,3,5,m,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,2
32,1,1,71,3,35.4,3,4,9,0,2,2,m,2,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,2
28,1,0,30,2,14.4,1,4,5,0,2,2,m,4,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,2
66,1,46,42,2,19.9,2,2,10,0,2,2,f,2,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1
35,1,9,51,3,25.4,2,1,14,0,2,4,m,2,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,2
55,1,23,352,4,67.7,3,4,23,0,3,4,m,4,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,2
47,0,27,122,4,60.4,3,4,20,0,3,5,f,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1
34,1,0,38,2,19.6,2,3,7,0,2,2,m,5,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,2
29,0,0,67,3,34.2,3,2,10,0,2,2,m,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,2
36,0,5,31,2,15.6,2,3,0,0,1,1,m,3,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,2
38,1,4,51,3,25.9,2,3,7,0,2,2,m,4,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,2
33,1,10,35,2,17.3,2,4,2,0,1,3,m,5,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,2
46,1,12,88,4,42.7,3,2,23,0,3,4,f,2,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1
29,0,5,60,3,30.4,3,4,2,0,1,3,f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,1,7,53,3,25,2,3,2,0,1,1,f,6,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1
38,0,1,42,2,20.5,2,2,6,0,2,2,m,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,2
39,1,1,29,2,14.3,1,1,7,0,2,3,f,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
34,1,3,62,3,31,3,5,2,0,1,4,m,7,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,2
58,1,21,46,2,22.2,2,2,0,0,1,2,m,2,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,2
29,0,2,31,2,15.4,2,1,12,0,2,2,f,2,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
64,0,16,16,1,8.1,1,4,8,1,2,2,m,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,2
41,0,12,36,2,18.2,2,3,0,0,1,2,m,2,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,2
44,0,24,25,2,11.9,1,1,1,0,1,1,f,2,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1
60,1,38,82,4,40.3,3,1,28,0,3,3,f,2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1
32,0,7,25,2,12.7,1,4,4,0,1,4,f,2,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1
35,0,7,37,2,18.6,2,3,9,0,2,4,m,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,2
58,1,19,19,1,9.6,1,2,3,0,1,1,m,2,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,2
37,0,15,30,2,15,2,2,6,0,2,4,f,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1
63,1,28,208,4,83.1,3,2,28,0,3,4,f,2,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1
22,1,0,25,2,12.1,1,3,0,0,1,4,f,4,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1
66,1,29,72,3,34.8,3,2,20,0,3,2,f,3,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1
26,0,1,19,1,9.4,1,1,0,0,1,1,m,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,2
44,0,13,104,4,51,3,2,11,0,2,4,f,1,1,0,0,0,9,1,1,1,1,1,1,0,0,0,1,1
41,0,9,25,2,12.4,1,2,2,0,1,3,f,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1
26,1,7,15,1,7.6,1,1,0,0,1,2,m,3,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,2
48,0,27,371,4,74.6,3,4,20,0,3,2,f,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
45,0,18,135,4,67.6,3,1,26,0,3,3,f,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1
26,1,1,50,3,25.3,2,2,5,0,2,4,m,5,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,2
31,0,4,22,1,11.2,1,1,4,0,1,5,f,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1
54,1,15,354,4,70.7,3,2,36,0,3,5,m,3,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,2
34,1,15,38,2,18.3,2,4,7,0,2,5,m,5,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,2
32,1,5,45,2,22.1,2,1,11,0,2,3,m,4,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,2
35,0,12,32,2,15.7,2,2,12,0,2,2,f,2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1
22,1,1,32,2,16.2,2,2,1,0,1,1,m,4,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,2
25,0,0,30,2,14.6,1,3,2,0,1,5,m,2,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,2
59,1,26,103,4,51.2,3,2,19,0,3,5,f,2,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1
28,1,7,15,1,7.5,1,5,0,0,1,2,f,6,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1
37,1,11,52,3,25.4,2,2,12,0,2,1,f,3,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1
43,0,7,29,2,14,1,1,3,0,1,3,m,2,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,2
42,1,13,69,3,34.1,3,2,16,0,3,5,f,4,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
35,0,4,38,2,19,2,2,7,0,2,3,f,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
22,0,3,32,2,15.7,2,1,6,0,2,3,m,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2
55,0,22,298,4,80.5,3,4,28,0,3,5,m,3,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,2
63,0,43,11,1,5.6,1,1,19,1,3,3,m,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,2
40,1,21,61,3,31.7,3,3,12,0,2,4,m,2,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,2
29,0,10,59,3,29.4,2,1,6,0,2,2,m,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,2
32,1,6,52,3,25.6,2,1,8,0,2,4,f,2,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
47,0,18,138,4,69.2,3,4,8,0,2,2,m,5,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,2
42,0,16,28,2,13.9,1,3,0,0,1,1,f,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1
50,0,3,23,1,11.7,1,1,1,0,1,5,f,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1
52,1,29,34,2,16.9,2,3,1,0,1,2,f,2,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1
33,1,0,26,2,13.1,1,1,3,0,1,5,f,3,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1
54,0,34,286,4,73.6,3,4,23,0,3,3,m,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,2
37,1,16,32,2,15.9,2,1,15,0,3,5,f,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
57,1,20,307,4,73.5,3,4,20,0,3,4,f,3,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1
70,1,43,11,1,5.5,1,2,36,1,3,5,m,2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,2
23,1,3,14,1,6.9,1,4,0,0,1,3,f,4,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1
55,0,30,196,4,98.2,3,3,17,0,3,4,f,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1
48,0,11,81,4,41.1,3,2,19,0,3,2,m,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,2
38,0,12,40,2,20.1,2,2,18,0,3,4,m,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2
47,1,9,65,3,32.5,3,1,22,0,3,4,m,2,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,2
29,0,4,21,1,10.5,1,4,2,0,1,1,m,2,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,2
27,1,3,26,2,13.1,1,3,0,0,1,1,m,4,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,2
